Strain_Name,Genotype,Identifier,Source,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction,SKAT_Rank_Percentile
VC621,lrp-2(gk292) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035926#03--10,Caenorhabditis Genetics Center,0.11025886864813,0.598462301587302,58.04
VC631,cla-1(ok937) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035934#03--10,Caenorhabditis Genetics Center,0.116961083187539,0.672267025089606,49.51
VC746,gly-11(gk342) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00036033#03--10,Caenorhabditis Genetics Center,0,0.591944444444444,1.55
VC876,cpna-2(gk428) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036140#03--10,Caenorhabditis Genetics Center,0.0586129753914989,0.563564814814815,11.8
VC983,hda-2(ok1479) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036222#03--10,Caenorhabditis Genetics Center,0.0725826497638578,0.528343621399177,0.99
tm10810,haf-2(tm10810) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10810,National BioResource Project (Japan),0.0198198198198198,0.58087962962963,1.79
tm10863,F49B2.3(tm10863) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10863,National BioResource Project (Japan),0.0989542687685344,0.603343023255814,0.02
tm10921,Y37A1A.4/C27H2.2 (tm10921) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10921,National BioResource Project (Japan),0.11534749034749,0.422619047619048,8.06
tm10937,F49B2.3(tm10937) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10937,National BioResource Project (Japan),0.0369127516778523,0.569460978835979,0.02
tm12611,nhl-3(tm12611) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm12611,National BioResource Project (Japan),0.121621621621622,0.604296875,0.95
tm12674,crmb-1(tm12674) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm12674,National BioResource Project (Japan),0.0242643262777491,0.596367521367521,25.53
tm2516,nhl-3(tm2516) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm2516,National BioResource Project (Japan),0.450591216216216,0.867317708333333,0.95
tm3221,F22G12.4(tm3221) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm3221,National BioResource Project (Japan),0.191754554170662,0.654662698412698,0.93
tm3373,K09A9.1/tmC24(tm3373) X.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm3373,National BioResource Project (Japan),0.098274209012464,0.603918650793651,0.8
tm5036,che-6(tm5036) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm5036,National BioResource Project (Japan),0.105855855855856,0.601388888888889,1.49
